Loan_ID,Applicant_Age,Applicant_Income,Loan_Amount,Credit_Score,Loan_Term,Interest_Rate,Loan_Approval,Default_Flag,Loan_Scoring_Model_Output,Debt_to_Income_Ratio,Non_Performing_Loan_Flag,Delinquency_Rate,Portfolio_Risk_Score,High_Risk_Borrower,Macroeconomic_Risk_Index,Approval_Rate_by_Demographics,Interest_Rate_Disparity,Loan_Denial_Reasons,Disparate_Impact_Ratio,Fair_Lending_Bias_Score,False_Positive_Rate,False_Negative_Rate,Regulatory_Compliance_Violation,Model_Drift_Approval_Patterns,Gender,Race
L0001,59,163767,274536,719,48,10.32,Approved,0,0.23,18.18,0,0.44,52.25,0,46.46,60.61,3.02,Insufficient Collateral,1.12,0.01,0.12,0.14,0,3.14,Female,Other
L0002,49,154375,322824,721,48,12.76,Approved,0,0.37,38.56,0,0.92,73.23,0,68.05,84.92,1.59,Insufficient Collateral,0.59,0.42,0.19,0.16,0,4.71,Female,Other
L0003,35,166330,262426,403,48,10.64,Approved,0,0.49,29.76,0,0.72,0.33,0,39.55,68.24,4.33,High DTI,1.26,0.48,0.05,0.1,0,8.22,Female,White
L0004,63,69504,182789,553,60,5.08,Approved,0,0.85,40.19,0,0.61,46.73,0,97.47,77.08,4.97,Low Credit Score,0.63,0.02,0.02,0.09,0,4.59,Male,White
L0005,28,194231,223164,526,48,5.92,Approved,0,0.09,14.12,0,0.95,29.7,0,72.19,78.46,3.76,High DTI,1.33,0.26,0.04,0.03,0,3.58,Male,Asian
L0006,41,43986,318003,411,72,5.18,Denied,0,0.81,31.46,0,0.4,85.28,0,65.7,66.78,0.45,Unstable Income,1.28,0.76,0.18,0.07,0,4.94,Male,Hispanic
L0007,59,91858,130657,809,60,7.22,Denied,0,0.06,25.15,0,0.95,71.56,0,75.71,73.07,1.44,Insufficient Collateral,1.21,0.14,0.13,0.09,0,8.28,Male,Hispanic
L0008,39,159312,240167,772,48,2.99,Approved,1,0.84,28.28,0,0.14,58.91,0,95.26,68.59,0.55,High DTI,0.54,0.54,0.06,0.02,0,3.35,Female,White
L0009,43,42666,162381,398,72,10.23,Approved,0,0.05,34.16,0,0.48,27.73,0,90.78,53.11,3.25,Low Credit Score,0.8,0.22,0.16,0.04,0,1.74,Female,Black
L0010,31,68660,485671,452,36,6.71,Approved,0,0.02,30.09,0,0.27,91.03,0,72.43,69.67,3.83,High DTI,0.76,0.01,0.17,0.12,0,7.12,Male,Other
